,time,unit,layers,value
6897,98.0,34,4,3.42962743839
6898,99.0,34,4,3.42965353814
6899,100.0,34,4,3.42967698057
6900,101.0,34,4,3.42969821408
6901,102.0,34,4,3.42971774549
6902,103.0,34,4,3.4297361261
6903,104.0,34,4,3.42975330073
6904,105.0,34,4,3.42976898455
6905,106.0,34,4,3.42978273669
6906,107.0,34,4,3.42979472043
6907,108.0,34,4,3.42980537519
6908,109.0,34,4,3.42981518601
6909,110.0,34,4,3.42982431966
6910,111.0,34,4,3.4298327198
6911,112.0,34,4,3.4298404109
6912,113.0,34,4,3.42984744003
6913,114.0,34,4,3.42985388947
6914,115.0,34,4,3.42985976265
6915,116.0,34,4,3.42986505468
6916,117.0,34,4,3.42986979198
6917,118.0,34,4,3.42987401468
6918,119.0,34,4,3.4298777906
6919,120.0,34,4,3.42988121531
6920,121.0,34,4,3.42988441021
6921,122.0,34,4,3.42988735838
6922,123.0,34,4,3.42989002539
6923,124.0,34,4,3.4298924499
6924,125.0,34,4,3.42989467267
6925,126.0,34,4,3.42989673655
6926,127.0,34,4,3.42989868173
6927,128.0,34,4,3.42990046578
6928,129.0,34,4,3.42990205856
6929,130.0,34,4,3.42990344458
6930,131.0,34,4,3.42990460168
6931,132.0,34,4,3.42990550108
6932,133.0,34,4,3.42990612653
6933,134.0,34,4,3.42990659501
6934,135.0,34,4,3.42990697169
6935,136.0,34,4,3.4299073093
6936,137.0,34,4,3.42990766776
6937,138.0,34,4,3.4299081142
6938,139.0,34,4,3.42990868611
6939,140.0,34,4,3.42990929733
6940,141.0,34,4,3.42990993064
6941,142.0,34,4,3.42991057128
6942,143.0,34,4,3.42991119781
6943,144.0,34,4,3.4299117821
6944,145.0,34,4,3.4299123162
6945,146.0,34,4,3.42991283196
6946,147.0,34,4,3.42991332608
6947,148.0,34,4,3.42991379363
6948,149.0,34,4,3.42991422915
6949,150.0,34,4,3.42991462662
6950,151.0,34,4,3.42991498038
6951,152.0,34,4,3.42991528487
6952,153.0,34,4,3.42991553345
6953,154.0,34,4,3.42991571906
6954,155.0,34,4,3.42991583421
6955,156.0,34,4,3.42991587138
6956,157.0,34,4,3.42991584069
6957,158.0,34,4,3.42991575394
6958,159.0,34,4,3.42991561761
6959,160.0,34,4,3.42991543982
6960,161.0,34,4,3.42991523038
6961,162.0,34,4,3.42991500076
6962,163.0,34,4,3.4299147641
6963,164.0,34,4,3.42991453519
6964,165.0,34,4,3.42991433052
6965,166.0,34,4,3.42991416822
6966,167.0,34,4,3.4299140681
6967,168.0,34,4,3.42991405164
6968,169.0,34,4,3.42991414197
6969,170.0,34,4,3.42991436391
6970,171.0,34,4,3.42991474393
6971,172.0,34,4,3.42991523822
6972,173.0,34,4,3.42991560322
6973,174.0,34,4,3.42991577582
6974,175.0,34,4,3.42991570665
6975,176.0,34,4,3.42991543159
6976,177.0,34,4,3.42991517746
6977,178.0,34,4,3.42991506891
6978,179.0,34,4,3.42991524089
6979,180.0,34,4,3.42991566582
6980,181.0,34,4,3.42991606232
6981,182.0,34,4,3.42991624346
6982,183.0,34,4,3.42991597031
6983,184.0,34,4,3.4299153211
6984,185.0,34,4,3.42991462952
6985,186.0,34,4,3.42991408679
6986,187.0,34,4,3.42991393441
6987,188.0,34,4,3.42991409381
6988,189.0,34,4,3.42991438211
6989,190.0,34,4,3.42991471141
6990,191.0,34,4,3.42991496719
6991,192.0,34,4,3.42991519767
6992,193.0,34,4,3.42991545092
6993,194.0,34,4,3.42991573632
6994,195.0,34,4,3.42991606256
6995,196.0,34,4,3.42991635624
6996,197.0,34,4,3.42991655
6997,198.0,34,4,3.42991657953
6998,199.0,34,4,3.42991639799
6999,200.0,34,4,3.42991612584
7000,1.0,35,4,0.313625674634
7001,2.0,35,4,0.598503416848
7002,3.0,35,4,0.857268295061
7003,4.0,35,4,1.0923138322
7004,5.0,35,4,1.30581423162
7005,6.0,35,4,1.49974440733
7006,7.0,35,4,1.67589824232
7007,8.0,35,4,1.83590525888
7008,9.0,35,4,1.98124548244
7009,10.0,35,4,2.11326337604
7010,11.0,35,4,2.23318006451
7011,12.0,35,4,2.34210479564
7012,13.0,35,4,2.44104515277
7013,14.0,35,4,2.5309162751
7014,15.0,35,4,2.61254957715
7015,16.0,35,4,2.6867000884
7016,17.0,35,4,2.75405369683
7017,18.0,35,4,2.81523344091
7018,19.0,35,4,2.87080517996
7019,20.0,35,4,2.92128312165
7020,21.0,35,4,2.96713399941
7021,22.0,35,4,3.00878212581
7022,23.0,35,4,3.04661232556
7023,24.0,35,4,3.08097461376
7024,25.0,35,4,3.11218719353
7025,26.0,35,4,3.14053917868
7026,27.0,35,4,3.16629247103
7027,28.0,35,4,3.18968507094
7028,29.0,35,4,3.21093332127
7029,30.0,35,4,3.23023371495
7030,31.0,35,4,3.24776506787
7031,32.0,35,4,3.26368937448
7032,33.0,35,4,3.27815397533
7033,34.0,35,4,3.29129280637
7034,35.0,35,4,3.30322744539
7035,36.0,35,4,3.31406799197
7036,37.0,35,4,3.32391475922
7037,38.0,35,4,3.33285924816
7038,39.0,35,4,3.34098408751
7039,40.0,35,4,3.34836422524
7040,41.0,35,4,3.35506772552
7041,42.0,35,4,3.36115642876
7042,43.0,35,4,3.36668676127
7043,44.0,35,4,3.37171039187
7044,45.0,35,4,3.37627349553
7045,46.0,35,4,3.38041823701
7046,47.0,35,4,3.38418341264
7047,48.0,35,4,3.38760359694
7048,49.0,35,4,3.39071018279
7049,50.0,35,4,3.39353205268
7050,51.0,35,4,3.39609518836
7051,52.0,35,4,3.39842320733
7052,53.0,35,4,3.40053792637
7053,54.0,35,4,3.40245889213
7054,55.0,35,4,3.40420369358
7055,56.0,35,4,3.4057886166
7056,57.0,35,4,3.40722833499
7057,58.0,35,4,3.40853601608
7058,59.0,35,4,3.40972382836
7059,60.0,35,4,3.41080276815
7060,61.0,35,4,3.41178265117
7061,62.0,35,4,3.41267254582
7062,63.0,35,4,3.41348073117
7063,64.0,35,4,3.41421473813
7064,65.0,35,4,3.41488158223
7065,66.0,35,4,3.41548763931
7066,67.0,35,4,3.41603829689
7067,68.0,35,4,3.41653854105
7068,69.0,35,4,3.41699288714
7069,70.0,35,4,3.4174055649
7070,71.0,35,4,3.41778043135
7071,72.0,35,4,3.4181210197
7072,73.0,35,4,3.41843033469
7073,74.0,35,4,3.41871114366
7074,75.0,35,4,3.41896598528
7075,76.0,35,4,3.41919735123
7076,77.0,35,4,3.41940760391
7077,78.0,35,4,3.41959898693
7078,79.0,35,4,3.4197731002
7079,80.0,35,4,3.41993130443
7080,81.0,35,4,3.42007474861
7081,82.0,35,4,3.42020481054
7082,83.0,35,4,3.42032283822
7083,84.0,35,4,3.42043010912
7084,85.0,35,4,3.42052757508
7085,86.0,35,4,3.42061602496
7086,87.0,35,4,3.42069619704
7087,88.0,35,4,3.42076891565
7088,89.0,35,4,3.42083506751
7089,90.0,35,4,3.42089552552
7090,91.0,35,4,3.42095084511
7091,92.0,35,4,3.42100122735
7092,93.0,35,4,3.42104677665
7093,94.0,35,4,3.42108775626
7094,95.0,35,4,3.42112479312
7095,96.0,35,4,3.42115844387
7096,97.0,35,4,3.42118915349
7097,98.0,35,4,3.42121698969
7098,99.0,35,4,3.42124208694
7099,100.0,35,4,3.42126463309
7100,101.0,35,4,3.42128516339
7101,102.0,35,4,3.42130419745
7102,103.0,35,4,3.42132216469
7103,104.0,35,4,3.42133879581
7104,105.0,35,4,3.42135377942
7105,106.0,35,4,3.42136674594
7106,107.0,35,4,3.42137815163
7107,108.0,35,4,3.4213883932
7108,109.0,35,4,3.42139795475
7109,110.0,35,4,3.42140677728
7110,111.0,35,4,3.42141488437
7111,112.0,35,4,3.42142228105
7112,113.0,35,4,3.42142906172
7113,114.0,35,4,3.42143526587
7114,115.0,35,4,3.42144088523
7115,116.0,35,4,3.42144593153
7116,117.0,35,4,3.42145043501
7117,118.0,35,4,3.42145444857
7118,119.0,35,4,3.42145805321
7119,120.0,35,4,3.42146135806
7120,121.0,35,4,3.42146445708
7121,122.0,35,4,3.42146727113
7122,123.0,35,4,3.42146982067
7123,124.0,35,4,3.42147214569
7124,125.0,35,4,3.42147428833
7125,126.0,35,4,3.42147629285
7126,127.0,35,4,3.42147817062
7127,128.0,35,4,3.42147986384
7128,129.0,35,4,3.42148135808
7129,130.0,35,4,3.42148263434
7130,131.0,35,4,3.42148366689
7131,132.0,35,4,3.42148442325
7132,133.0,35,4,3.42148495365
7133,134.0,35,4,3.42148536847
7134,135.0,35,4,3.42148571744
7135,136.0,35,4,3.42148605753
7136,137.0,35,4,3.42148645308
7137,138.0,35,4,3.42148697311
7138,139.0,35,4,3.42148757124
7139,140.0,35,4,3.42148819631
7140,141.0,35,4,3.42148883653
7141,142.0,35,4,3.42148947333
7142,143.0,35,4,3.42149008138
7143,144.0,35,4,3.42149063378
7144,145.0,35,4,3.42149115839
7145,146.0,35,4,3.42149166328
7146,147.0,35,4,3.42149214372
7147,148.0,35,4,3.42149259442
7148,149.0,35,4,3.42149300954
7149,150.0,35,4,3.42149338296
7150,151.0,35,4,3.42149370941
7151,152.0,35,4,3.42149398247
7152,153.0,35,4,3.42149419519
7153,154.0,35,4,3.4214943402
7154,155.0,35,4,3.42149440971
7155,156.0,35,4,3.42149440339
7156,157.0,35,4,3.42149433795
7157,158.0,35,4,3.42149421986
7158,159.0,35,4,3.42149405668
7159,160.0,35,4,3.42149385764
7160,161.0,35,4,3.42149363368
7161,162.0,35,4,3.42149339741
7162,163.0,35,4,3.42149316317
7163,164.0,35,4,3.42149294694
7164,165.0,35,4,3.42149276643
7165,166.0,35,4,3.42149264102
7166,167.0,35,4,3.4214925918
7167,168.0,35,4,3.42149264152
7168,169.0,35,4,3.42149281466
7169,170.0,35,4,3.42149313737
7170,171.0,35,4,3.42149362115
7171,172.0,35,4,3.42149404179
7172,173.0,35,4,3.42149428472
7173,174.0,35,4,3.42149430145
7174,175.0,35,4,3.42149406793
7175,176.0,35,4,3.42149379236
7176,177.0,35,4,3.42149362299
7177,178.0,35,4,3.42149369093
7178,179.0,35,4,3.42149407195
7179,180.0,35,4,3.42149449584
7180,181.0,35,4,3.42149476595
7181,182.0,35,4,3.42149465727
7182,183.0,35,4,3.42149406662
7183,184.0,35,4,3.42149336864
7184,185.0,35,4,3.42149275867
7185,186.0,35,4,3.42149246982
7186,187.0,35,4,3.42149257829
7187,188.0,35,4,3.42149283868
7188,189.0,35,4,3.42149316821
7189,190.0,35,4,3.42149345237
7190,191.0,35,4,3.421493678
7191,192.0,35,4,3.42149392523
7192,193.0,35,4,3.42149420168
7193,194.0,35,4,3.42149452108
7194,195.0,35,4,3.42149483163
7195,196.0,35,4,3.42149505607
7196,197.0,35,4,3.42149513211
7197,198.0,35,4,3.42149499453
7198,199.0,35,4,3.42149473513
7199,200.0,35,4,3.42149443369
7200,1.0,36,4,0.375261208736
7201,2.0,36,4,0.715540955717
7202,3.0,36,4,1.02410010891
7203,4.0,36,4,1.30389552812
7204,5.0,36,4,1.55760852708
7205,6.0,36,4,1.78767059741
7206,7.0,36,4,1.99628656246
7207,8.0,36,4,2.18545526015
7208,9.0,36,4,2.35698990696
7209,10.0,36,4,2.5125342373
7210,11.0,36,4,2.6535787505
7211,12.0,36,4,2.78147561574
7212,13.0,36,4,2.89745003759
