,Layer 0,Layer 1,Layer 2,Layer 3,Layer 4
70.0,1525.59412497,16693.8823672,1815.11003841,13501.114929,2717.20446084
72.5,1572.73286176,16624.8710817,1816.07009292,13500.9152258,2717.20790844
75.0,1619.41310182,16554.4894469,1817.10005658,13500.6929507,2717.21188442
77.5,1665.63930476,16482.8233035,1818.20183987,13500.4465924,2717.21644557
80.0,1711.41588707,16409.9553127,1819.37728946,13500.1746103,2717.22165361
82.5,1756.7472225,16335.9644128,1820.62819006,13499.8754173,2717.22757397
85.0,1801.63764259,16260.9262622,1821.95631152,13499.5473474,2717.23427611
87.5,1846.09143712,16184.9136357,1823.36337137,13499.1887115,2717.24183075
90.0,1890.11285131,16107.9964945,1824.85103616,13498.7977942,2717.25031179
92.5,1933.70608753,16030.2418149,1826.4208886,13498.3729286,2717.25979656
95.0,1976.87531019,15951.7125363,1828.07445852,13497.9124218,2717.27036788
97.5,2019.62464332,15872.4694228,1829.81322418,13497.4145725,2717.28211584
100.0,2061.95817107,15792.5707503,1831.63864085,13496.877587,2717.2951342
102.5,2103.87993811,15712.0724399,1833.5521184,13496.2996446,2717.3095209
105.0,2145.39395007,15631.0271879,1835.55502626,13495.6788988,2717.32537099
107.5,2186.504174,15549.4850258,1837.64869927,13495.0135294,2717.34278352
110.0,2227.21453882,15467.4940353,1839.83442451,13494.3017297,2717.36186001
112.5,2267.52893569,15385.100131,1842.1134146,13493.5416775,2717.38271101
115.0,2307.45121854,15302.3471163,1844.48685783,13492.7315572,2717.405454
